price,sqft,Bedrooms,Baths,Age,Occupancy,Pool,Fireplace,Waterfront,DOM
128600,2182,3,2,1,2,No,0,0,64
148000,3027,3,2,45,1,No,1,0,79
130500,2910,3,2,45,2,No,0,0,45
59895,1865,3,2,25,2,No,0,0,65
135000,1277,1,1,63,1,No,0,0,140
147000,2236,3,2,1,1,No,1,0,9
65000,1450,3,1,35,1,No,0,0,13
82551,2561,4,2,63,2,No,0,0,14
75400,1088,2,1,18,2,No,1,0,108
159000,1918,3,2,80,2,No,0,0,0
280544,3405,5,3,1,2,No,0,0,131
136200,2418,4,2,1,2,No,0,0,0
93700,2069,3,2,25,1,No,1,0,77
152500,1320,2,2,2,1,No,0,0,11
280000,3983,4,3,5,1,No,1,1,89
252900,2977,3,2,1,2,No,1,0,276
123800,2105,3,2,1,2,No,0,0,212
94900,1088,2,1,18,2,No,0,0,14
76000,1178,3,1,35,2,No,0,0,44
265000,4688,4,3,63,2,No,1,0,139
230777,2400,2,1,45,1,No,1,0,10
479900,4281,4,3,1,2,No,1,0,121
121000,1952,3,2,8,1,No,1,0,68
94900,1088,2,1,18,3,No,0,0,10
127800,2131,3,2,5,1,No,1,0,11
144500,1548,3,2,8,2,No,1,0,18
180000,3993,4,2,25,1,No,1,0,114
89900,1712,2,2,18,1,No,1,0,44
22654,1080,2,1,63,2,No,0,0,8
138500,1500,3,2,35,2,No,0,0,10
257000,3415,4,3,2,1,No,1,0,16
129000,2701,3,2,35,2,No,0,0,6
150000,2562,3,2,18,3,No,1,0,123
185000,2097,3,2,13,1,No,1,1,44
94900,2466,3,2,35,1,No,0,0,21
442500,4925,4,2,25,1,Yes,1,0,15
86000,1759,2,2,18,1,No,1,0,43
129900,2072,3,2,2,1,No,1,0,20
175000,3756,4,2,35,1,No,0,0,118
134000,2246,3,2,5,2,No,1,0,97
169900,3212,4,2,25,1,No,1,0,35
435000,3046,4,4,13,1,Yes,1,0,87
227500,3147,4,2,8,2,No,1,1,3
291000,3304,4,2,1,2,No,1,0,109
72500,1203,3,1,35,1,No,0,0,6
228900,4062,4,3,1,2,No,0,0,113
156000,2495,3,2,25,1,Yes,1,0,3
147000,2280,4,2,1,2,No,1,0,406
139900,4130,4,2,45,2,No,0,0,15
195000,3348,3,2,2,1,No,1,1,126
221000,3039,4,2,1,2,No,1,0,223
119500,2482,3,2,25,1,No,1,0,124
109500,1989,3,2,18,2,No,1,0,83
130000,1894,3,2,2,1,No,1,0,70
302000,4255,4,3,5,1,Yes,1,0,49
137800,2373,4,2,25,1,No,0,0,86
88500,1317,3,1,8,2,No,1,0,63
182500,3078,4,2,35,1,No,1,0,7
123200,2087,3,2,1,2,No,0,0,0
127000,1291,2,2,8,2,Yes,1,0,26
323000,4497,4,2,8,1,Yes,1,0,114
202500,2650,4,3,8,1,Yes,0,0,72
134900,2418,4,2,1,2,No,0,0,0
143900,2948,4,3,5,1,No,1,0,6
124000,1372,3,2,8,1,No,1,0,7
122000,1889,3,2,25,1,No,1,0,42
113000,2166,3,2,25,1,No,1,0,30
99000,1200,3,2,25,2,No,0,0,280
169900,2342,3,2,2,1,No,1,0,50
375500,3841,4,3,2,1,No,1,1,119
135500,2122,3,2,1,2,No,0,0,390
79900,2610,3,1,45,1,No,0,0,77
219900,3333,4,3,25,2,No,1,0,144
119600,1239,2,1,45,2,No,0,0,540
51900,1268,2,1,45,1,No,0,0,8
101500,1615,3,2,5,1,No,1,0,125
215000,4919,4,3,1,2,No,0,0,74
243900,2457,4,2,13,1,Yes,1,0,9
159900,3657,4,2,35,1,Yes,1,0,116
104600,2535,3,2,45,1,Yes,1,0,17
146000,2128,3,2,8,1,No,1,0,32
196900,2779,4,2,1,2,No,0,0,427
94900,1485,4,2,1,2,No,0,0,26
119900,2152,3,2,35,1,No,0,0,3
124600,1956,3,2,25,1,No,0,0,59
67500,1321,3,2,45,2,No,0,0,4
122000,3750,3,2,45,1,No,1,0,87
138000,2298,3,2,8,2,No,0,0,27
116000,1843,3,2,18,1,No,0,0,5
91500,1519,3,1,35,1,No,1,0,20
132000,1907,3,2,25,1,No,1,0,3
95000,2506,3,2,35,2,No,1,0,3
355000,4325,4,3,5,1,No,1,0,9
69000,1457,3,1,2,2,No,0,0,37
66000,1236,3,1,35,2,No,0,0,43
214000,1923,3,2,2,1,No,1,0,25
239900,3172,4,3,5,1,No,1,0,27
97900,1088,2,1,18,3,No,0,0,17
149000,2135,3,2,5,1,No,1,0,37
85000,2072,4,2,25,2,No,1,0,11
130000,1980,3,2,18,2,No,1,0,11
163000,2605,4,2,25,1,No,0,0,7
128000,2134,3,2,1,2,No,1,0,73
64900,1033,2,1,63,1,No,0,0,8
95900,1088,2,1,18,3,No,0,0,45
126600,2348,3,2,1,2,No,0,0,0
98500,1460,3,2,25,1,No,0,0,8
195500,2923,4,2,13,1,No,1,0,12
123808,3148,5,2,25,1,No,0,0,13
111900,1933,3,2,1,2,No,0,0,191
105900,1446,3,2,25,1,No,1,0,17
181600,3309,4,2,8,1,No,1,0,38
77900,1108,2,1,18,2,No,0,0,115
145000,2529,3,2,25,1,No,1,0,19
229900,2706,3,2,2,1,No,1,0,82
125000,5803,8,1,63,1,No,0,0,673
54000,1165,2,1,35,2,No,0,0,190
112900,1215,3,2,8,1,No,1,0,86
86000,1418,3,1,25,1,No,0,0,10
149900,2228,3,2,1,2,No,1,0,77
120000,1864,3,2,1,2,No,1,0,84
179900,3430,4,3,25,2,No,1,0,15
27000,1008,2,1,63,2,No,0,0,8
61000,1392,2,1,35,1,No,0,0,5
114000,1297,2,1,80,1,No,0,0,26
175000,2267,4,2,25,1,No,1,0,71
32500,1618,2,2,63,2,No,0,0,244
59900,2090,3,2,35,2,No,0,0,115
137000,2681,3,2,35,2,No,1,0,100
98350,1228,2,2,25,2,No,1,0,137
92000,1401,3,1,35,1,No,0,0,4
124900,1840,3,2,1,2,No,1,0,7
63000,1800,3,2,63,2,No,0,0,38
163000,2207,3,2,8,1,No,1,0,76
94900,1088,2,1,18,2,No,0,0,24
130400,1688,3,2,45,2,No,0,0,10
155000,1757,3,2,8,1,Yes,1,0,219
117000,1994,3,2,25,1,No,1,0,13
105000,1724,3,2,5,1,No,1,0,2
128500,1267,2,2,63,1,No,0,0,47
175000,2076,3,2,5,2,No,0,0,17
112900,2090,3,2,13,2,No,1,0,14
154000,2663,4,2,45,2,Yes,0,0,61
330000,3648,3,3,13,1,No,1,0,164
139300,2536,4,2,1,2,No,0,0,0
102000,2376,3,1,45,2,No,1,0,91
85000,1562,3,2,25,1,No,0,0,7
126000,1404,3,2,2,1,No,1,0,96
109000,2145,3,2,25,1,No,1,0,40
75000,915,3,1,25,2,Yes,0,0,291
197800,2926,4,2,1,2,No,1,0,52
175000,2445,3,2,63,1,No,1,0,9
224900,3555,3,2,25,2,No,1,0,16
135900,1425,3,2,18,2,No,1,0,0
222198,2394,4,2,1,2,No,1,0,324
142900,1668,3,2,18,2,No,1,0,6
122000,2044,3,2,2,1,No,1,0,147
75000,1303,2,1,45,2,No,0,0,329
153000,1668,3,2,8,1,No,1,0,74
374000,6203,7,4,25,1,Yes,1,0,28
139900,3573,4,2,13,2,No,0,0,30
155000,1400,2,2,1,2,No,0,1,106
134600,2418,4,2,1,2,No,0,0,0
114000,2879,3,2,25,1,Yes,0,0,25
156700,1722,3,2,1,2,No,0,1,22
172900,2348,3,2,45,1,No,1,0,0
93000,1963,3,1,45,2,No,0,0,40
160000,3303,5,3,25,1,No,1,0,65
575000,5956,5,4,8,1,Yes,1,1,5
195000,4110,4,2,25,1,No,0,0,32
80001,2291,3,2,25,2,No,1,0,7
68500,790,1,1,18,1,No,1,0,8
72000,1394,3,1,18,2,No,0,0,21
90000,2411,4,2,25,1,No,0,0,75
38300,1488,4,2,63,2,No,0,0,29
118000,2798,3,2,25,1,No,1,0,188
72500,1411,3,1,25,2,No,1,0,13
159900,2182,3,2,1,2,No,0,1,575
245900,2540,4,2,5,1,No,1,0,50
101850,2255,4,3,35,2,No,1,0,105
105000,2200,3,2,25,1,No,1,0,186
113000,2800,3,2,25,1,No,1,0,0
122900,2312,3,2,2,1,No,0,0,7
129500,2146,3,1,45,2,No,1,0,168
249900,2788,3,2,1,2,No,1,0,0
80000,2120,3,2,45,2,No,0,0,10
152400,2534,4,2,25,2,No,1,0,9
138800,2536,4,2,1,2,No,0,0,32
95900,1088,2,1,18,3,No,0,0,6
220000,2564,4,2,2,1,No,1,0,62
150000,2800,4,2,25,1,No,1,0,13
440000,4411,4,3,2,1,Yes,1,0,20
75200,975,2,2,18,2,No,0,0,106
130000,1296,3,2,18,3,No,1,0,60
110000,1120,2,1,18,2,No,0,1,7
143000,2331,2,2,25,1,No,1,0,86
132500,1296,3,2,18,2,No,0,0,1
287500,2087,3,2,63,1,No,1,0,4
288500,2660,3,2,35,1,No,0,0,6
129900,2348,3,2,1,2,No,0,0,3
140700,2205,3,2,1,2,No,1,0,257
82000,1396,3,2,35,1,No,0,0,27
70300,1380,3,2,8,1,No,0,0,10
196900,2779,4,2,1,2,No,0,0,71
153500,2441,3,2,8,2,No,1,0,118
114000,1744,3,2,8,1,No,1,0,72
134000,2692,3,2,35,1,Yes,0,0,57
130000,2353,3,2,13,2,No,1,0,77
134600,2418,4,2,1,2,No,0,0,0
109500,1970,3,2,5,1,No,0,0,11
332694,4988,4,2,18,1,Yes,1,0,9
113400,1960,3,2,1,2,No,0,0,218
875000,5390,4,4,2,1,No,1,0,155
89100,1917,3,2,18,2,No,1,0,52
105000,2070,2,1,13,2,No,0,0,36
63500,1488,3,2,25,3,No,0,0,330
30000,1305,3,1,35,2,No,0,0,209
73000,1790,3,1,45,2,No,0,0,57
150000,3182,4,2,45,1,Yes,1,0,374
125000,1879,3,2,13,1,No,1,0,72
104000,1488,3,1,63,1,No,0,0,93
45900,1801,3,1,35,2,No,0,0,72
207000,2870,3,2,13,1,No,1,0,32
151900,3624,3,2,25,1,No,1,0,322
152000,1588,4,2,5,2,No,0,0,0
41000,1296,2,1,45,1,No,0,0,23
114500,1933,3,2,1,2,No,0,0,21
92000,1001,2,2,25,1,No,0,0,96
150000,2248,3,2,80,1,No,0,0,247
119000,2113,3,2,25,1,Yes,1,0,16
170650,2536,3,2,1,2,No,1,1,137
98900,1956,3,1,35,1,No,1,0,34
69900,1837,3,1,63,2,No,0,0,126
275000,4681,4,4,25,1,Yes,1,0,53
182500,2500,3,2,5,1,No,1,0,52
126900,2623,3,2,25,1,No,0,0,22
66500,741,1,1,18,1,Yes,1,0,6
115495,2707,3,2,25,1,No,0,0,21
128000,2083,4,2,8,1,Yes,0,0,34
237000,4244,4,3,25,1,Yes,0,0,29
270000,5814,3,3,63,1,No,1,1,3
57000,825,2,1,45,1,No,0,0,41
124000,1870,3,2,5,1,No,1,0,125
95900,1088,2,1,18,2,No,0,0,31
1400000,6397,5,5,8,1,No,1,1,245
25000,1579,3,1,35,3,No,0,0,3
143500,2168,3,2,18,2,No,1,0,0
98500,1152,3,2,5,2,No,0,0,11
134300,2418,4,2,1,2,No,0,0,144
119900,1587,3,2,8,1,No,1,0,52
203900,2887,3,2,8,2,No,1,0,137
136000,2791,3,2,18,1,Yes,1,0,39
97500,1790,3,2,25,1,No,1,0,11
64900,971,2,1,45,2,No,0,0,176
122700,2087,3,2,1,2,No,0,0,1
95900,1088,2,1,18,2,No,0,0,1
254000,3122,4,3,8,1,No,1,0,33
196900,3018,3,2,2,1,No,1,0,186
184000,3594,4,2,18,1,No,1,0,68
111900,1615,3,2,8,2,No,0,0,192
109300,1886,3,2,1,2,No,0,0,143
134900,2403,3,2,25,1,No,1,0,80
128200,2379,3,2,1,2,No,0,0,149
125000,2451,3,2,63,2,No,0,0,1
89000,1588,3,2,25,2,No,0,0,101
107000,1705,3,2,1,2,No,0,0,33
110000,1806,3,2,18,1,No,1,0,36
72500,1500,4,1,45,2,No,0,0,30
270000,4561,4,3,8,2,No,1,0,442
290000,4215,4,3,8,1,No,1,0,58
344900,3972,4,2,5,1,No,1,0,128
116500,2297,3,2,25,1,No,1,0,12
93000,1602,4,2,45,2,No,0,0,248
95000,1801,3,2,45,1,No,1,0,97
125000,1606,3,2,25,1,No,1,0,56
340000,3631,3,3,18,1,No,1,0,386
63000,1386,3,1,25,2,No,0,0,70
600000,6119,4,4,63,1,No,1,0,256
119000,2095,3,2,25,1,No,1,0,32
130000,2172,3,2,18,1,No,1,0,25
144000,2389,3,2,13,2,No,1,0,35
125000,2092,3,2,2,1,No,1,0,2
95900,1088,2,1,18,3,No,0,0,34
143100,2214,3,2,1,2,No,1,0,224
149900,1408,2,2,2,2,Yes,0,0,0
98847,1228,2,2,25,2,No,1,0,168
127000,1931,3,2,13,2,No,1,0,151
114000,1937,3,2,2,1,No,0,0,88
124400,1848,3,2,8,1,No,1,0,176
315000,2802,4,4,35,1,No,1,0,41
71500,1765,3,2,45,2,No,0,0,154
267300,3481,4,2,2,1,No,1,0,60
135700,2418,4,2,1,2,No,0,0,47
133400,2418,4,2,1,2,No,0,0,0
132000,2013,3,2,2,1,No,1,0,6
116000,1395,2,2,18,2,No,1,0,41
181000,2616,4,2,1,1,No,1,0,42
118000,2042,3,2,5,2,No,1,0,45
295000,3729,4,3,8,1,No,1,0,47
51000,1744,4,1,45,2,No,0,0,9
182700,2527,3,2,1,2,No,1,0,90
161000,1380,3,2,80,2,No,1,0,10
100000,1713,3,2,18,2,Yes,0,0,4
205900,3460,4,3,8,1,No,1,0,40
118830,2130,3,2,35,2,No,0,0,12
100900,1514,3,2,8,1,No,0,0,11
418880,4146,4,3,1,2,No,0,0,0
142000,2060,3,2,18,1,No,1,0,56
610000,4935,3,3,8,1,Yes,1,1,99
142000,2280,4,2,1,2,No,1,0,420
152000,3143,4,2,25,1,No,1,0,78
93000,2332,2,2,25,1,No,0,0,66
239900,3538,4,3,8,1,No,1,0,115
124000,1912,3,2,18,1,No,1,0,7
190000,2628,3,3,45,1,No,1,0,7
100000,1500,2,1,63,3,No,0,0,3
175000,2948,4,2,25,1,No,1,0,94
188900,2813,3,2,13,2,No,1,0,10
99000,1200,3,2,25,2,No,0,0,107
422900,4601,5,3,8,1,Yes,1,0,29
207249,3390,4,2,1,2,No,1,0,223
139900,3266,3,2,25,2,No,1,0,8
55000,1130,2,2,25,1,No,0,0,34
100300,1745,3,1,35,1,No,0,0,11
1260000,7249,5,5,35,1,No,1,0,107
133800,2418,4,2,1,2,No,0,0,2
68000,1590,2,1,35,2,No,0,0,65
78900,1088,2,1,18,2,No,1,0,107
197000,3123,4,2,35,1,No,1,0,78
76000,1433,3,1,35,2,No,0,0,220
133000,2496,3,2,25,1,No,1,0,9
160000,2480,3,2,13,1,No,1,0,40
137900,1595,3,2,25,1,No,0,0,31
162000,3280,4,2,25,2,No,1,0,46
118000,2206,3,2,25,1,No,1,0,330
158000,3593,4,2,25,1,Yes,1,0,516
140000,1561,3,2,45,2,No,0,0,29
69000,1236,3,2,35,2,No,0,0,301
198000,2579,4,2,2,1,No,1,0,20
205900,3577,4,2,25,1,Yes,1,0,21
161900,2415,3,2,5,1,No,1,0,30
200000,3088,4,2,25,1,No,1,0,37
96000,1640,3,2,2,1,No,0,0,49
118650,1666,3,2,13,2,No,1,0,50
325000,3812,4,3,13,1,No,1,0,3
311000,3955,3,2,18,1,No,0,0,32
129000,2379,3,2,1,2,No,0,0,233
122000,1308,3,2,8,1,No,1,0,7
207255,2135,3,2,1,1,No,0,0,36
120459,1590,3,2,35,1,No,1,0,27
158500,3242,4,2,35,1,No,1,0,14
132600,2348,3,2,1,2,No,0,0,75
360000,5811,5,3,35,1,Yes,1,0,46
148000,1901,4,2,8,1,No,1,0,58
99000,1808,3,2,18,1,No,0,0,7
135000,3372,3,2,35,1,No,1,0,230
177000,2875,3,2,25,2,No,1,0,14
111500,2212,3,2,18,2,No,1,0,47
50000,735,2,1,35,2,No,0,0,79
266900,5140,3,3,8,1,No,1,0,89
126000,2301,3,2,25,1,No,1,0,15
144000,2669,4,2,35,1,No,1,0,71
195900,4000,4,3,8,2,Yes,1,1,77
118900,1719,3,2,2,1,No,1,0,43
157900,2827,3,2,1,2,No,0,0,122
147000,2124,3,2,2,1,No,1,0,30
129800,2348,3,2,1,2,No,0,0,0
95900,1088,2,1,18,3,No,0,0,79
236500,2751,3,2,63,2,No,1,0,28
95900,1088,2,1,18,2,No,0,0,32
212500,3453,3,2,13,1,No,1,0,2
242900,2866,4,3,1,2,No,1,0,301
154650,2211,3,2,1,2,No,1,0,1
67500,2419,3,2,25,2,No,0,0,0
127500,1478,3,2,25,2,No,1,0,35
187900,2768,4,2,1,2,No,1,0,221
186000,2940,3,2,35,1,No,1,0,36
198000,2932,4,3,2,1,No,1,0,63
295000,7790,5,3,18,1,No,1,0,119
240000,2848,4,3,13,1,Yes,1,1,133
128900,2770,4,2,45,2,No,0,0,26
